_id,gameID,iterationName,version,recruitmentPlatform,eventType,rt,responses,question_order,trial_type,trial_index,time_elapsed,internal_node_id,startTime,endTime,response_json
62dc96d28da0bb4dfb67156b,4696-34131c00-29f6-4188-aa78-75d9aa588734,pilot_9,VLAT_GGR,prolific,survey,19854,"{""participantSex"":""Female"",""participantEd"":""High school graduate, diploma or equivalent"",""judgedDifficulty"":""6"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""Yes""}","[0,1,2,3,4]",survey-multi-choice,71,924990,0.0-71.0,,,
62dc96da8da0bb4dfb67156c,4696-34131c00-29f6-4188-aa78-75d9aa588734,pilot_9,VLAT_GGR,prolific,survey,8088,"{""participantEd_math"":["" Algebra"","" Calculus"","" Statistics""]}",[0],survey-multi-select,72,933081,0.0-72.0,,,
62dc97238da0bb4dfb671573,4696-34131c00-29f6-4188-aa78-75d9aa588734,pilot_9,VLAT_GGR,prolific,survey,73183,,,survey-text,73,1006268,0.0-73.0,936677.0,1009860.0,"{""TechnicalDifficultiesFreeResp"":""Any question I selected 'skip' on was because the image did not load. I tried to right click -> reload the images, but it did not work."",""participantAge"":""1985"",""participantYears"":""36"",""participantEd_field"":""anthropology"",""participantComments"":""""}"
62dc98078da0bb4dfb671587,3137-e12ceeae-c3d8-4924-804c-86f7cc0f342f,pilot_9,VLAT_GGR,prolific,survey,16933,"{""participantSex"":""Female"",""participantEd"":"""",""judgedDifficulty"":""3"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""Yes""}","[0,1,2,3,4]",survey-multi-choice,72,742656,0.0-71.0,,,
62dc980b8da0bb4dfb671588,3137-e12ceeae-c3d8-4924-804c-86f7cc0f342f,pilot_9,VLAT_GGR,prolific,survey,3954,"{""participantEd_math"":["" Algebra"","" Calculus""]}",[0],survey-multi-select,73,746622,0.0-72.0,,,
62dc98348da0bb4dfb671589,3137-e12ceeae-c3d8-4924-804c-86f7cc0f342f,pilot_9,VLAT_GGR,prolific,survey,41722,,,survey-text,74,788354,0.0-73.0,747662.7000000477,789384.2000000477,"{""TechnicalDifficultiesFreeResp"":""I couldn't see 3 of the graphs, so I skipped those questions. "",""participantAge"":""2003"",""participantYears"":""19"",""participantEd_field"":""pharmacy"",""participantComments"":""""}"
62dca2f58da0bb4dfb6715d8,4937-bcec9043-7654-4143-85a7-22c48056a972,pilot_9,VLAT_GGR,prolific,survey,24877,"{""participantSex"":""Male"",""participantEd"":""Associate degree"",""judgedDifficulty"":""2"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""Yes""}","[0,1,2,3,4]",survey-multi-choice,71,2434641,0.0-71.0,,,
62dca2fe8da0bb4dfb6715d9,4937-bcec9043-7654-4143-85a7-22c48056a972,pilot_9,VLAT_GGR,prolific,survey,8969,"{""participantEd_math"":["" Algebra"","" Calculus"","" Statistics""]}",[0],survey-multi-select,72,2443622,0.0-72.0,,,
62dca3498da0bb4dfb6715da,4937-bcec9043-7654-4143-85a7-22c48056a972,pilot_9,VLAT_GGR,prolific,survey,74669,,,survey-text,73,2518304,0.0-73.0,2445604.1000000015,2520272.8000000007,"{""TechnicalDifficultiesFreeResp"":""A lot of images did not load(Had to skip questions)"",""participantAge"":""1996"",""participantYears"":""25"",""participantEd_field"":""Computer science"",""participantComments"":""It was actually pretty fun and kept my attention. Everything worked well apart from certain images not loading.""}"
62e968572d79a05ff978a164,8756-dafe7f4c-0976-4c96-b178-4ebb66f9988f,pilot_9,VLAT_GGR,prolific,survey,19637,"{""participantSex"":"""",""participantEd"":"""",""judgedDifficulty"":""4"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""Yes""}","[0,1,2,3,4]",survey-multi-choice,71,189630,0.0-71.0,,,
62e9685a2d79a05ff978a165,8756-dafe7f4c-0976-4c96-b178-4ebb66f9988f,pilot_9,VLAT_GGR,prolific,survey,3430,"{""participantEd_math"":["" None""]}",[0],survey-multi-select,72,193070,0.0-72.0,,,
62e968652d79a05ff978a166,8756-dafe7f4c-0976-4c96-b178-4ebb66f9988f,pilot_9,VLAT_GGR,prolific,survey,10971,,,survey-text,73,204051,0.0-73.0,193660.0,204630.90000003576,"{""TechnicalDifficultiesFreeResp"":"""",""participantAge"":"""",""participantYears"":"""",""participantEd_field"":"""",""participantComments"":""""}"
62e96fb42d79a05ff978a205,4501-80e3b2b4-008d-499e-b7ee-ea88deb7b9ad,pilot_9,VLAT_GGR,prolific,survey,15325,"{""participantSex"":""Female"",""participantEd"":""Associate degree"",""judgedDifficulty"":""2"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,71,1611929,0.0-71.0,,,
62e96fba2d79a05ff978a207,4501-80e3b2b4-008d-499e-b7ee-ea88deb7b9ad,pilot_9,VLAT_GGR,prolific,survey,6152,"{""participantEd_math"":["" Algebra"","" Statistics""]}",[0],survey-multi-select,72,1618096,0.0-72.0,,,
62e96fd02d79a05ff978a209,4501-80e3b2b4-008d-499e-b7ee-ea88deb7b9ad,pilot_9,VLAT_GGR,prolific,survey,22088,,,survey-text,73,1640190,0.0-73.0,1619414.3000000715,1641502.7000000477,"{""TechnicalDifficultiesFreeResp"":""I did not encounter any technical difficulties."",""participantAge"":""1993"",""participantYears"":""29"",""participantEd_field"":""Biology"",""participantComments"":""""}"
62e971612d79a05ff978a21e,6935-d6f0f385-d307-4d18-81b4-51fb267a9f5d,pilot_9,VLAT_GGR,prolific,survey,24907,"{""participantSex"":""Male"",""participantEd"":""High school graduate, diploma or equivalent"",""judgedDifficulty"":""2"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,72,2118314,0.0-71.0,,,
62e971672d79a05ff978a21f,6935-d6f0f385-d307-4d18-81b4-51fb267a9f5d,pilot_9,VLAT_GGR,prolific,survey,5677,"{""participantEd_math"":["" Algebra""]}",[0],survey-multi-select,73,2123996,0.0-72.0,,,
62e971772d79a05ff978a220,6935-d6f0f385-d307-4d18-81b4-51fb267a9f5d,pilot_9,VLAT_GGR,prolific,survey,16160,,,survey-text,74,2140166,0.0-73.0,2126721.0,2142881.0,"{""TechnicalDifficultiesFreeResp"":"""",""participantAge"":""982"",""participantYears"":""40"",""participantEd_field"":"""",""participantComments"":""""}"
62e974442d79a05ff978a23e,5219-4c5efc24-cd97-47af-a80e-2372f430f981,pilot_9,VLAT_GGR,prolific,survey,11262,"{""participantSex"":""Female"",""participantEd"":""Master's degree"",""judgedDifficulty"":""3"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,71,2580940,0.0-71.0,,,
62e974492d79a05ff978a23f,5219-4c5efc24-cd97-47af-a80e-2372f430f981,pilot_9,VLAT_GGR,prolific,survey,4302,"{""participantEd_math"":["" Algebra"","" Statistics""]}",[0],survey-multi-select,72,2585248,0.0-72.0,,,
62e974542d79a05ff978a240,5219-4c5efc24-cd97-47af-a80e-2372f430f981,pilot_9,VLAT_GGR,prolific,survey,11627,,,survey-text,73,2596881,0.0-73.0,2595649.0,2607276.0,"{""TechnicalDifficultiesFreeResp"":""no"",""participantAge"":""1995"",""participantYears"":""26"",""participantEd_field"":""Fine Arts"",""participantComments"":""""}"
