_id,gameID,iterationName,version,recruitmentPlatform,eventType,rt,responses,question_order,trial_type,trial_index,time_elapsed,internal_node_id,startTime,endTime,response_json
634764dd3739580fbd191514,4379-b7e9b8e9-b090-4959-9e60-0fe62af38780,pilot_10,VLAT_GGR,prolific,survey,14129,"{""participantSex"":""Do Not Wish To Say"",""participantEd"":""Bachelor's degree"",""judgedDifficulty"":""1"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,72,262754,0.0-71.0,,,
634764e13739580fbd191515,4379-b7e9b8e9-b090-4959-9e60-0fe62af38780,pilot_10,VLAT_GGR,prolific,survey,4340,"{""participantEd_math"":["" None""]}",[0],survey-multi-select,73,267105,0.0-72.0,,,
634764fe3739580fbd191516,4379-b7e9b8e9-b090-4959-9e60-0fe62af38780,pilot_10,VLAT_GGR,prolific,survey,28453,,,survey-text,74,295568,0.0-73.0,267664.09999999404,296116.799999997,"{""TechnicalDifficultiesFreeResp"":""HANNAH"",""participantAge"":"""",""participantYears"":"""",""participantEd_field"":""c"",""participantComments"":""HANNAH ""}"
634c4bdca0ba013433eb0957,2621-d6efbc40-8656-4ba0-8033-101ba6624555,pilot_10,VLAT_GGR,prolific,survey,20348,"{""participantSex"":""Female"",""participantEd"":""High school graduate, diploma or equivalent"",""judgedDifficulty"":""2"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,71,1283220,0.0-71.0,,,
634c4be3a0ba013433eb0958,2621-d6efbc40-8656-4ba0-8033-101ba6624555,pilot_10,VLAT_GGR,prolific,survey,7042,"{""participantEd_math"":["" Algebra"","" Statistics""]}",[0],survey-multi-select,72,1290295,0.0-72.0,,,
634c4befa0ba013433eb095c,2621-d6efbc40-8656-4ba0-8033-101ba6624555,pilot_10,VLAT_GGR,prolific,survey,11174,,,survey-text,73,1301494,0.0-73.0,1292941.899999857,1304116.2000000477,"{""TechnicalDifficultiesFreeResp"":"""",""participantAge"":""1997"",""participantYears"":""25"",""participantEd_field"":"""",""participantComments"":""""}"
634c4cc0a0ba013433eb09a5,7428-cdf86d38-fe6a-4349-8061-203e51dfc55c,pilot_10,VLAT_GGR,prolific,survey,14857,"{""participantSex"":""Female"",""participantEd"":""Master's degree"",""judgedDifficulty"":""4"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,71,1370393,0.0-71.0,,,
634c4cc8a0ba013433eb09aa,7428-cdf86d38-fe6a-4349-8061-203e51dfc55c,pilot_10,VLAT_GGR,prolific,survey,8074,"{""participantEd_math"":["" Algebra"","" Statistics""]}",[0],survey-multi-select,72,1378484,0.0-72.0,,,
634c4cefa0ba013433eb09bc,7428-cdf86d38-fe6a-4349-8061-203e51dfc55c,pilot_10,VLAT_GGR,prolific,survey,38262,,,survey-text,73,1416763,0.0-73.0,1380804.5999999978,1419066.5999999978,"{""TechnicalDifficultiesFreeResp"":"""",""participantAge"":""1998"",""participantYears"":""24"",""participantEd_field"":""information science"",""participantComments"":""I hope I did these right. I think I did well. Got a bit hard to process graph after graph, but it was fun, thank you!""}"
634c4d59a0ba013433eb09eb,5620-117a7d01-5196-4348-923e-6a23aeab7245,pilot_10,VLAT_GGR,prolific,survey,15690,"{""participantSex"":""Female"",""participantEd"":""Master's degree"",""judgedDifficulty"":""3"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,71,1338747,0.0-71.0,,,
634c4d60a0ba013433eb09ee,5620-117a7d01-5196-4348-923e-6a23aeab7245,pilot_10,VLAT_GGR,prolific,survey,6348,"{""participantEd_math"":["" Algebra"","" Statistics""]}",[0],survey-multi-select,72,1345106,0.0-72.0,,,
634c4d75a0ba013433eb09fa,5620-117a7d01-5196-4348-923e-6a23aeab7245,pilot_10,VLAT_GGR,prolific,survey,21070,,,survey-text,73,1366191,0.0-73.0,1347455.800000012,1368526.100000009,"{""TechnicalDifficultiesFreeResp"":"""",""participantAge"":""1986"",""participantYears"":""36"",""participantEd_field"":""dietetics"",""participantComments"":""""}"
634c4e06a0ba013433eb0a36,5493-6bdbf095-9770-4bcf-9b9a-2fc9d0844829,pilot_10,VLAT_GGR,prolific,survey,15205,"{""participantSex"":""Male"",""participantEd"":""Bachelor's degree"",""judgedDifficulty"":""2"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,71,1416006,0.0-71.0,,,
634c4e0da0ba013433eb0a3a,5493-6bdbf095-9770-4bcf-9b9a-2fc9d0844829,pilot_10,VLAT_GGR,prolific,survey,7089,"{""participantEd_math"":["" Algebra"","" Calculus"","" Statistics""]}",[0],survey-multi-select,72,1423102,0.0-72.0,,,
634c4e24a0ba013433eb0a4b,5493-6bdbf095-9770-4bcf-9b9a-2fc9d0844829,pilot_10,VLAT_GGR,prolific,survey,23102,,,survey-text,73,1446215,0.0-73.0,1425487.0,1448588.900000006,"{""TechnicalDifficultiesFreeResp"":""worked well in opera gx browser"",""participantAge"":""1993"",""participantYears"":""29"",""participantEd_field"":""IT"",""participantComments"":""""}"
634c50a5a0ba013433eb0bef,0401-266250c7-3867-458e-a4a0-28e8e08caca6,pilot_10,VLAT_GGR,prolific,survey,8126,"{""participantSex"":""Male"",""participantEd"":""Associate degree"",""judgedDifficulty"":""2"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,74,1067780,0.0-71.0,,,
634c50ada0ba013433eb0bf6,0401-266250c7-3867-458e-a4a0-28e8e08caca6,pilot_10,VLAT_GGR,prolific,survey,8337,"{""participantEd_math"":["" Algebra"","" Statistics""]}",[0],survey-multi-select,75,1076120,0.0-72.0,,,
634c50c5a0ba013433eb0c06,0401-266250c7-3867-458e-a4a0-28e8e08caca6,pilot_10,VLAT_GGR,prolific,survey,23504,,,survey-text,76,1099631,0.0-73.0,1078465.5,1101969.0,"{""TechnicalDifficultiesFreeResp"":"""",""participantAge"":""1973"",""participantYears"":""48"",""participantEd_field"":""Accounting"",""participantComments"":""""}"
634c50e4a0ba013433eb0c18,2039-333b30f1-c2db-4cb1-9a17-edcb3abd3461,pilot_10,VLAT_GGR,prolific,survey,13546,"{""participantSex"":""Female"",""participantEd"":""High school graduate, diploma or equivalent"",""judgedDifficulty"":""2"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,72,1425740,0.0-71.0,,,
634c50e8a0ba013433eb0c1e,2039-333b30f1-c2db-4cb1-9a17-edcb3abd3461,pilot_10,VLAT_GGR,prolific,survey,4821,"{""participantEd_math"":["" Algebra"","" Statistics""]}",[0],survey-multi-select,73,1430568,0.0-72.0,,,
634c50f7a0ba013433eb0c2a,2039-333b30f1-c2db-4cb1-9a17-edcb3abd3461,pilot_10,VLAT_GGR,prolific,survey,14293,,,survey-text,74,1444869,0.0-73.0,1432494.1999999993,1446787.1999999993,"{""TechnicalDifficultiesFreeResp"":"""",""participantAge"":""1996"",""participantYears"":""26"",""participantEd_field"":""English Literature. Education"",""participantComments"":""""}"
634c5102a0ba013433eb0c35,7704-50a59b4f-f26a-43b1-8381-ddba8b9fde3e,pilot_10,VLAT_GGR,prolific,survey,19133,"{""participantSex"":""Female"",""participantEd"":""Bachelor's degree"",""judgedDifficulty"":""4"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,71,1688664,0.0-71.0,,,
634c5108a0ba013433eb0c3b,7704-50a59b4f-f26a-43b1-8381-ddba8b9fde3e,pilot_10,VLAT_GGR,prolific,survey,6013,"{""participantEd_math"":["" Statistics""]}",[0],survey-multi-select,72,1694687,0.0-72.0,,,
634c5119a0ba013433eb0c45,0858-63d541d3-ff19-4fb0-b905-b25a8ec64cec,pilot_10,VLAT_GGR,prolific,survey,28160,"{""participantSex"":""Male"",""participantEd"":""High school graduate, diploma or equivalent"",""judgedDifficulty"":""3"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,71,1290845,0.0-71.0,,,
634c511fa0ba013433eb0c49,0858-63d541d3-ff19-4fb0-b905-b25a8ec64cec,pilot_10,VLAT_GGR,prolific,survey,5662,"{""participantEd_math"":["" Algebra""]}",[0],survey-multi-select,72,1296511,0.0-72.0,,,
634c5121a0ba013433eb0c4b,7704-50a59b4f-f26a-43b1-8381-ddba8b9fde3e,pilot_10,VLAT_GGR,prolific,survey,24885,,,survey-text,73,1719588,0.0-73.0,1696426.0,1721311.0,"{""TechnicalDifficultiesFreeResp"":"""",""participantAge"":""1994"",""participantYears"":""28"",""participantEd_field"":""Child Development"",""participantComments"":""This was a lot of fun, good luck on your study!""}"
634c5123a0ba013433eb0c4e,9676-b6585bc5-2172-4bbd-8e77-26de9f70f1e7,pilot_10,VLAT_GGR,prolific,survey,19004,"{""participantSex"":""Female"",""participantEd"":""Bachelor's degree"",""judgedDifficulty"":""4"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,71,1379283,0.0-71.0,,,
634c512ba0ba013433eb0c53,9676-b6585bc5-2172-4bbd-8e77-26de9f70f1e7,pilot_10,VLAT_GGR,prolific,survey,7449,"{""participantEd_math"":["" Algebra"","" Statistics""]}",[0],survey-multi-select,72,1386743,0.0-72.0,,,
634c512ea0ba013433eb0c55,0858-63d541d3-ff19-4fb0-b905-b25a8ec64cec,pilot_10,VLAT_GGR,prolific,survey,15210,,,survey-text,73,1311724,0.0-73.0,1298684.0,1313893.700000003,"{""TechnicalDifficultiesFreeResp"":"""",""participantAge"":""1996"",""participantYears"":""25"",""participantEd_field"":"""",""participantComments"":""""}"
634c5159a0ba013433eb0c73,9676-b6585bc5-2172-4bbd-8e77-26de9f70f1e7,pilot_10,VLAT_GGR,prolific,survey,45630,,,survey-text,73,1432382,0.0-73.0,1390351.0,1435980.699999988,"{""TechnicalDifficultiesFreeResp"":""I did not have any technical difficulties"",""participantAge"":""1996"",""participantYears"":""26"",""participantEd_field"":""Social Studies Education"",""participantComments"":""It was great!""}"
634c52f9a0ba013433eb0da8,8165-9b7a564f-03d4-4b05-885d-54a444cb4c24,pilot_10,VLAT_GGR,prolific,survey,24525,"{""participantSex"":""Female"",""participantEd"":""Associate degree"",""judgedDifficulty"":""5"",""participantEffort"":""I tried my best on each question"",""technicalDifficultiesBinary"":""No""}","[0,1,2,3,4]",survey-multi-choice,71,1692904,0.0-71.0,,,
